provincia,tipologia,year,infracciones,source
Gipuzkoa,1. CONTRA LAS PERSONAS,2010,3022,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2011,3206,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2012,3140,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2013,3234,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2014,3227,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2015,2327,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2016,1559,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2017,1793,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2018,1918,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2019,2049,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2020,1762,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2021,2044,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2022,2723,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2023,2918,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1. CONTRA LAS PERSONAS,2024,3143,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2010,13,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2011,16,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2012,14,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2013,9,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2014,15,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2015,13,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2016,15,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2017,17,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2018,10,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2019,12,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2020,9,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2021,33,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2022,33,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2023,26,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.-Homicidios dolosos/asesinatos,2024,38,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.1.-Homicidios dolosos/asesinatos consumados,2010,4,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.1.-Homicidios dolosos/asesinatos consumados,2011,4,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.1.-Homicidios dolosos/asesinatos consumados,2012,4,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.1.-Homicidios dolosos/asesinatos consumados,2013,3,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.1.-Homicidios dolosos/asesinatos consumados,2014,1,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.1.1.-Homicidios dolosos/asesinatos consumados,2015,3,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
