barrio_id,hosteleria,n_comercios,vacant,n_locales_total,hosteleria_share,turistico_share_shops,vacancy_rate,source
aiete,12,6,0,18,0.6667,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
altza,41,30,1,71,0.5775,0.0769,0.0323,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
amaraberri,102,136,5,238,0.4286,0.011,0.0355,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
anorga,5,11,0,16,0.3125,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
antigua,61,60,0,121,0.5041,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
ategorrieta-ulia,8,2,3,10,0.8,0.0,0.6,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
egia,40,61,3,101,0.396,0.0,0.0469,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
erdialdea,379,573,1,952,0.3981,0.1361,0.0017,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
gros,181,317,3,498,0.3635,0.052,0.0094,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
ibaeta,39,49,0,88,0.4432,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
igeldo,10,1,0,11,0.9091,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
intxaurrondo,36,86,3,122,0.2951,0.1667,0.0337,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
loiola,21,36,2,57,0.3684,0.0,0.0526,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
martutene,18,19,0,37,0.4865,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
mirakruz-bidebieta,15,13,0,28,0.5357,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
miramon-zorroaga,5,0,0,5,1.0,,,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
zubieta,6,1,0,7,0.8571,0.0,0.0,"Análisis HU-3 (analysis/commercial_typology.py) desde OpenStreetMap (Overpass, shop=* + hostelería amenity=*), snapshot jul-2026. Foto actual, no evolución; completitud OSM variable por barrio → proporciones, no recuentos"
