street_code,name_es,name_eu,lon,lat,units,vut,hut,beds
5060,"Zabaleta, Calle de",Zabaleta Kalea,-1.974356,43.324396,35,34,1,155
4870,"Urbieta, Calle de",Urbieta Kalea,-1.982147,43.31607,34,32,2,169
1390,"Easo, Calle de",Easo Kalea,-1.982863,43.315464,33,32,1,130
4270,"San Marcial, Calle de",San Martzial Kalea,-1.981142,43.319123,31,28,3,124
4130,"San Bartolomé, Calle de",San Bartolome Kalea,-1.984688,43.315745,26,25,1,96
3890,"Prim, Calle de",Prim Kalea,-1.979916,43.316375,24,20,4,113
4300,"San Martín, Calle de",San Martin Kalea,-1.981796,43.317591,24,23,1,95
470,"Arrasate, Calle de",Arrasate Kalea,-1.981496,43.318306,24,23,1,83
4920,"Usandizaga, Calle de",Usandizaga Kalea,-1.976882,43.323834,24,22,2,98
3140,"Miracruz, Calle de",Mirakruz Kalea,-1.975087,43.321892,21,21,0,78
4160,"San Francisco, Calle de",San Frantzisko Kalea,-1.97368,43.323976,21,19,2,82
5180,"Zubieta, Calle de",Zubieta Kalea,-1.986348,43.316537,21,20,1,108
3130,"Miraconcha, Paseo de",Mirakontxa Pasealekua,-1.993451,43.314274,20,19,1,105
1960,"Gran Via, Calle",Galtzada Nagusia,-1.973558,43.323995,19,18,1,90
1150,"Colón, Paseo de",Colón Pasealekua,-1.975498,43.324034,18,17,1,67
1380,"Duque de Mandas, Paseo del",Mandasko Dukearen Pasealekua,-1.974842,43.318475,18,17,1,70
3740,"Peña y Goñi, Calle de",Peña Y Goñi Kalea,-1.97787,43.323578,17,16,1,72
2550,"Larramendi, Calle de",Larramendi Kalea,-1.981423,43.315307,16,15,1,66
810,"Boulevard, Alameda del",Boulevard Zumardia,-1.983937,43.322272,16,14,2,60
1440,"Egia, Calle de",Egia Kalea,-1.97192,43.315827,15,13,2,48
2475,"Lizarra / Estella, Calle de",Lizarra Kalea,-1.98493,43.314432,15,15,0,42
4460,"Segundo Ispizua, Calle de",Segundo Ispizua Kalea,-1.971403,43.324998,15,15,0,62
