id,label,theme,unit,year,value,source
fee_revenue,Tasse comunali emesse (M€),economy,M€,2011,35.0,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2012,36.3,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2013,36.2,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2014,38.0,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2015,37.4,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2016,39.5,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2017,41.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2018,43.9,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2019,45.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2020,45.9,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2021,48.8,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2022,50.5,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2023,51.0,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2024,55.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2025,62.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2008,6.02,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2009,6.15,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2010,6.36,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2011,6.61,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2012,6.79,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2013,6.95,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2014,6.99,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2015,7.03,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2016,7.05,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2017,7.22,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2018,7.51,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2019,7.62,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2020,7.76,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2021,7.72,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2022,7.87,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
hospitality_establishments_share,Quota alloggio/ristorazione (% esercizi),economy,%,2023,8.07,"Eustat — Directorio de Actividades Económicas (CDIRAE), establecimientos por municipio y CNAE-2009 (tabla PX_200163_cdirae_est04b), Donostia-San Sebastián"
