id,label,theme,unit,year,value,source
fee_revenue,Tasse comunali emesse (M€),economy,M€,2011,35.0,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2012,36.3,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2013,36.2,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2014,38.0,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2015,37.4,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2016,39.5,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2017,41.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2018,43.9,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2019,45.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2020,45.9,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2021,48.8,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2022,50.5,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2023,51.0,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2024,55.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
fee_revenue,Tasse comunali emesse (M€),economy,M€,2025,62.6,"Donostia Open Data — tasas emitidas (ciudad, importe nominal)"
mice_attendees,Partecipanti a congressi,tourism,persone,2024,259000.0,Donostitik 2024 (188 congresos; 259.000 asistentes)
mice_events_total,Eventi professionali (totale),tourism,eventi,2023,175.0,Derivado de +7.43% sobre 188 (Nexotur 2024)
mice_events_total,Eventi professionali (totale),tourism,eventi,2024,188.0,Donostitik/Nexotur 2024 (récord; 50% internacional)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2018,16.0,ICCA Statistics Report 2018 — San Sebastián (puesto 180 mundial)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2019,12.0,ICCA Statistics Report 2019 (puesto 221 mundial; 112 europeo)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2023,15.0,ICCA 2023 (7º a nivel estatal)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2025,13.0,ICCA 2025 — Crónica Vasca 29/05/2026 (puesto 211 mundial; 7º estatal)
recycling_rate,Tasso di raccolta differenziata,environment,%,2010,28.8,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2011,29.63,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2012,30.44,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2013,31.06,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2014,33.69,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2015,38.08,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2016,38.67,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2017,38.11,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2018,39.03,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2019,40.38,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2020,41.63,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2021,41.16,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2022,40.72,Donostia Open Data — recogida de residuos (ámbito urbano)
recycling_rate,Tasso di raccolta differenziata,environment,%,2023,40.98,Donostia Open Data — recogida de residuos (ámbito urbano)
tax_revenue,Imposte comunali emesse (M€),economy,M€,2011,73.0,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2012,76.2,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2013,77.6,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2014,78.6,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2015,83.2,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2016,80.8,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2017,80.2,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2018,85.6,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2019,89.8,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
tax_revenue,Imposte comunali emesse (M€),economy,M€,2020,86.5,"Donostia Open Data — impuestos emitidos (ciudad, importe nominal)"
